seen_at,filing_date,transaction_date,ticker,issuer,insider_name,insider_role,officer_title,transaction_code,acquired_disposed,shares,price,dollar_value,severity,cluster_count,reasons,sector,industry,market_cap,price_now,price_now_date,accession,pdf_url,uid
2026-05-18,2026-05-14,2026-05-14,APLS,"Apellis Pharmaceuticals, Inc.",Sullivan Timothy Eugene,CFO,Chief Financial Officer,D,D,30620.0,,,low,1,unusual code D,Healthcare,Biotechnology,5252712960,41.029998779296875,2026-05-15,0001193125-26-224615,https://www.sec.gov/Archives/edgar/data/1492422/000119312526224615/,0001193125-26-224615|0001707000|2026-05-14|D|30620.0|None
2026-05-18,2026-05-14,2026-05-14,APLS,"Apellis Pharmaceuticals, Inc.",Sullivan Timothy Eugene,CFO,Chief Financial Officer,D,D,29070.0,,,low,1,unusual code D,Healthcare,Biotechnology,5252712960,41.029998779296875,2026-05-15,0001193125-26-224615,https://www.sec.gov/Archives/edgar/data/1492422/000119312526224615/,0001193125-26-224615|0001707000|2026-05-14|D|29070.0|None
2026-05-18,2026-05-14,2026-05-14,APLS,"Apellis Pharmaceuticals, Inc.",Sullivan Timothy Eugene,CFO,Chief Financial Officer,D,D,58140.0,,,low,1,unusual code D,Healthcare,Biotechnology,5252712960,41.029998779296875,2026-05-15,0001193125-26-224615,https://www.sec.gov/Archives/edgar/data/1492422/000119312526224615/,0001193125-26-224615|0001707000|2026-05-14|D|58140.0|None
2026-05-18,2026-05-14,2026-05-14,APLS,"Apellis Pharmaceuticals, Inc.",Sullivan Timothy Eugene,CFO,Chief Financial Officer,D,D,6872.0,,,low,1,unusual code D,Healthcare,Biotechnology,5252712960,41.029998779296875,2026-05-15,0001193125-26-224615,https://www.sec.gov/Archives/edgar/data/1492422/000119312526224615/,0001193125-26-224615|0001707000|2026-05-14|D|6872.0|None
2026-05-18,2026-05-14,2026-05-14,APLS,"Apellis Pharmaceuticals, Inc.",Sullivan Timothy Eugene,CFO,Chief Financial Officer,D,D,11874.0,,,low,1,unusual code D,Healthcare,Biotechnology,5252712960,41.029998779296875,2026-05-15,0001193125-26-224615,https://www.sec.gov/Archives/edgar/data/1492422/000119312526224615/,0001193125-26-224615|0001707000|2026-05-14|D|11874.0|None
2026-05-18,2026-05-14,2026-05-14,APLS,"Apellis Pharmaceuticals, Inc.",Sullivan Timothy Eugene,CFO,Chief Financial Officer,D,D,34447.0,,,low,1,unusual code D,Healthcare,Biotechnology,5252712960,41.029998779296875,2026-05-15,0001193125-26-224615,https://www.sec.gov/Archives/edgar/data/1492422/000119312526224615/,0001193125-26-224615|0001707000|2026-05-14|D|34447.0|None
2026-05-18,2026-05-14,2026-05-14,APLS,"Apellis Pharmaceuticals, Inc.",MELTZER LESLIE,Other C-suite,Chief Research and Development,D,D,61804.0,,,low,1,unusual code D,Healthcare,Biotechnology,5252712960,41.029998779296875,2026-05-15,0001193125-26-224620,https://www.sec.gov/Archives/edgar/data/1492422/000119312526224620/,0001193125-26-224620|0002084030|2026-05-14|D|61804.0|None
2026-05-18,2026-05-14,2026-05-14,APLS,"Apellis Pharmaceuticals, Inc.",Chopas James George,Other C-suite,VP/Chief Accounting Officer,D,D,5625.0,,,low,1,unusual code D,Healthcare,Biotechnology,5252712960,41.029998779296875,2026-05-15,0001193125-26-224627,https://www.sec.gov/Archives/edgar/data/1492422/000119312526224627/,0001193125-26-224627|0001836430|2026-05-14|D|5625.0|None
2026-05-18,2026-05-14,2026-05-14,APLS,"Apellis Pharmaceuticals, Inc.",Chopas James George,Other C-suite,VP/Chief Accounting Officer,D,D,8394.0,,,low,1,unusual code D,Healthcare,Biotechnology,5252712960,41.029998779296875,2026-05-15,0001193125-26-224627,https://www.sec.gov/Archives/edgar/data/1492422/000119312526224627/,0001193125-26-224627|0001836430|2026-05-14|D|8394.0|None
2026-05-18,2026-05-14,2026-05-14,APLS,"Apellis Pharmaceuticals, Inc.",Chopas James George,Other C-suite,VP/Chief Accounting Officer,D,D,16150.0,,,low,1,unusual code D,Healthcare,Biotechnology,5252712960,41.029998779296875,2026-05-15,0001193125-26-224627,https://www.sec.gov/Archives/edgar/data/1492422/000119312526224627/,0001193125-26-224627|0001836430|2026-05-14|D|16150.0|None
2026-05-18,2026-05-14,2026-05-14,APLS,"Apellis Pharmaceuticals, Inc.",Chopas James George,Other C-suite,VP/Chief Accounting Officer,D,D,8075.0,,,low,1,unusual code D,Healthcare,Biotechnology,5252712960,41.029998779296875,2026-05-15,0001193125-26-224627,https://www.sec.gov/Archives/edgar/data/1492422/000119312526224627/,0001193125-26-224627|0001836430|2026-05-14|D|8075.0|None
2026-05-18,2026-05-14,2026-05-14,APLS,"Apellis Pharmaceuticals, Inc.",Chopas James George,Other C-suite,VP/Chief Accounting Officer,D,D,2406.0,,,low,1,unusual code D,Healthcare,Biotechnology,5252712960,41.029998779296875,2026-05-15,0001193125-26-224627,https://www.sec.gov/Archives/edgar/data/1492422/000119312526224627/,0001193125-26-224627|0001836430|2026-05-14|D|2406.0|None
2026-05-18,2026-05-14,2026-05-14,APLS,"Apellis Pharmaceuticals, Inc.",Chopas James George,Other C-suite,VP/Chief Accounting Officer,D,D,4156.0,,,low,1,unusual code D,Healthcare,Biotechnology,5252712960,41.029998779296875,2026-05-15,0001193125-26-224627,https://www.sec.gov/Archives/edgar/data/1492422/000119312526224627/,0001193125-26-224627|0001836430|2026-05-14|D|4156.0|None
2026-05-18,2026-05-14,2026-05-14,APLS,"Apellis Pharmaceuticals, Inc.",Chopas James George,Other C-suite,VP/Chief Accounting Officer,D,D,9444.0,,,low,1,unusual code D,Healthcare,Biotechnology,5252712960,41.029998779296875,2026-05-15,0001193125-26-224627,https://www.sec.gov/Archives/edgar/data/1492422/000119312526224627/,0001193125-26-224627|0001836430|2026-05-14|D|9444.0|None
2026-05-18,2026-05-14,2026-05-14,APLS,"Apellis Pharmaceuticals, Inc.",Chopas James George,Other C-suite,VP/Chief Accounting Officer,D,D,6250.0,,,low,1,unusual code D,Healthcare,Biotechnology,5252712960,41.029998779296875,2026-05-15,0001193125-26-224627,https://www.sec.gov/Archives/edgar/data/1492422/000119312526224627/,0001193125-26-224627|0001836430|2026-05-14|D|6250.0|None
2026-05-18,2026-05-14,2026-05-14,TPH,"Tri Pointe Homes, Inc.",BAUER DOUGLAS F.,CEO/President,Chief Executive Officer,D,D,556021.0,47.0,26132987.0,low,1,unusual code D,Consumer Cyclical,Residential Construction,3998444288,46.95000076293945,2026-05-13,0001193125-26-223935,https://www.sec.gov/Archives/edgar/data/1561680/000119312526223935/,0001193125-26-223935|0001567627|2026-05-14|D|556021.0|47.0
2026-05-18,2026-05-14,2026-05-14,TPH,"Tri Pointe Homes, Inc.",BAUER DOUGLAS F.,CEO/President,Chief Executive Officer,D,D,350611.0,47.0,16478717.0,low,1,unusual code D,Consumer Cyclical,Residential Construction,3998444288,46.95000076293945,2026-05-13,0001193125-26-223935,https://www.sec.gov/Archives/edgar/data/1561680/000119312526223935/,0001193125-26-223935|0001567627|2026-05-14|D|350611.0|47.0
2026-05-18,2026-05-14,2026-05-14,TPH,"Tri Pointe Homes, Inc.",BAUER DOUGLAS F.,CEO/President,Chief Executive Officer,D,D,126426.0,,,low,1,unusual code D,Consumer Cyclical,Residential Construction,3998444288,46.95000076293945,2026-05-13,0001193125-26-223935,https://www.sec.gov/Archives/edgar/data/1561680/000119312526223935/,0001193125-26-223935|0001567627|2026-05-14|D|126426.0|None
2026-05-18,2026-05-14,2026-05-14,TPH,"Tri Pointe Homes, Inc.",BAUER DOUGLAS F.,CEO/President,Chief Executive Officer,D,D,129589.0,,,low,1,unusual code D,Consumer Cyclical,Residential Construction,3998444288,46.95000076293945,2026-05-13,0001193125-26-223935,https://www.sec.gov/Archives/edgar/data/1561680/000119312526223935/,0001193125-26-223935|0001567627|2026-05-14|D|129589.0|None
